Date,^DJI,^GSPC,^RUT
2000-04-25,0.019856446327125504,0.0327342935409904,0.042802339650160226
2000-04-26,-0.01625026334482329,-0.011196539243597151,-0.009843203373615226
2000-04-27,-0.005257999037765179,0.0026863820339736388,0.02112825898689792
2000-04-28,-0.014262510150111497,-0.008562610676304283,0.0233217280173303
2000-05-01,0.007228402032366667,0.010833162628904172,0.024738366775490597
2000-05-02,-0.007488363378115703,-0.015069531532927793,-0.02651771459776924
2000-05-03,-0.02366687014378399,-0.02180150116391077,-0.019562839277492597
2000-05-04,-0.0064750025968666695,-0.0039155274882096275,0.012732396725477733
2000-05-05,0.015757101158454093,0.016227264098328115,0.021543130004217363
2000-05-08,0.002433213497158039,-0.005922700590194449,-0.025195899278288747
2000-05-09,-0.006327237855249827,-0.008482924072715453,-0.01860913386111653
